hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2346.79, 114.346, 0, 0, 20.2518, 114.346, 20.2518, -65.6541
2, 0.00000, 2346.7, 114.342, 0, 0, 21.49, 114.342, 21.49, -65.6577
3, 0.00000, 2348, 114.378, 0, 0, 18.735, 114.377, 18.735, -65.6228
4, 0.00000, 2348.28, 114.385, 0, 0, 18.1696, 114.385, 18.1696, -65.615
5, 0.00000, 2340.46, 114.199, 0, 0, 18.3433, 114.202, 18.3433, -65.7983
6, 0.00000, 2334.57, 114.057, 0, 0, 19.8621, 114.058, 19.8621, -65.942
7, 0.00000, 2319.86, 113.352, 0, 0, 29.8483, 113.352, 29.8483, -66.6481
8, 0.00000, 2324.96, 113.471, 0, 0, 31.8618, 113.467, 31.8618, -66.5326
9, 0.00000, 2307.91, 113.056, 0, 0, 44.0268, 113.056, 44.0268, -66.9439
10, 0.00000, 2317.48, 113.288, 0, 0, 37.8158, 113.288, 37.8158, -66.7125
11, 0.00000, 2328.55, 113.569, 0, 0, 26.7204, 113.569, 26.7204, -66.4314
12, 0.00000, 2329.2, 113.589, 0, 0, 25.0426, 113.589, 25.0426, -66.4112
13, 0.00000, 2330.18, 113.614, 0, 0, 24.9564, 113.613, 24.9564, -66.3866
14, 0.00000, 2332.05, 113.658, 0, 0, 24.9959, 113.656, 24.9959, -66.3437
15, 0.00000, 2331.9, 113.654, 0, 0, 24.9268, 113.654, 24.9268, -66.3459
16, 0.00000, 2330.37, 113.618, 0, 0, 24.7866, 113.619, 24.7866, -66.3809
17, 0.00000, 2324.86, 113.486, 0, 0, 25.989, 113.49, 25.989, -66.5101
18, 0.00000, 2313.18, 113.201, 0, 0, 31.4301, 113.206, 31.4301, -66.7938
19, 0.00000, 2301.05, 112.898, 0, 0, 43.1551, 112.898, 43.1551, -67.1016
20, 0.00000, 2301.4, 112.902, 0, 0, 45.3034, 112.902, 45.3034, -67.098
21, 0.00000, 2306.33, 113.012, 0, 0, 47.8087, 113.012, 47.8087, -66.9877
22, 0.00000, 2314.17, 113.195, 0, 0, 46.4444, 113.195, 46.4444, -66.805
23, 0.00000, 2335.24, 113.701, 0, 0, 35.6973, 113.7, 35.6973, -66.2998
24, 0.00000, 2351.09, 114.096, 0, 0, 22.9122, 114.095, 22.9122, -65.9046
25, 0.00000, 2361.8, 114.352, 0, 0, 20.2518, 114.351, 20.2518, -65.6486
26, 0.00000, 2361.72, 114.348, 0, 0, 21.49, 114.348, 21.49, -65.6517
27, 0.00000, 2363.01, 114.383, 0, 0, 18.735, 114.382, 18.735, -65.6179
28, 0.00000, 2363.28, 114.391, 0, 0, 18.1696, 114.39, 18.1696, -65.6095
29, 0.00000, 2355.43, 114.205, 0, 0, 18.3433, 114.214, 18.3433, -65.7858
30, 0.00000, 2349.52, 114.063, 0, 0, 19.8621, 114.069, 19.8621, -65.931
31, 0.00000, 2319.86, 113.352, 0, 0, 29.8483, 113.352, 29.8483, -66.6477
32, 0.00000, 2324.96, 113.471, 0, 0, 31.8618, 113.467, 31.8618, -66.5326
33, 0.00000, 2307.91, 113.056, 0, 0, 44.0268, 113.056, 44.0268, -66.9439
34, 0.00000, 2317.48, 113.288, 0, 0, 37.8158, 113.288, 37.8158, -66.7125
35, 0.00000, 2328.55, 113.569, 0, 0, 26.7204, 113.569, 26.7204, -66.4314
36, 0.00000, 2329.2, 113.589, 0, 0, 25.0426, 113.589, 25.0426, -66.4112
37, 0.00000, 2330.18, 113.614, 0, 0, 24.9564, 113.613, 24.9564, -66.3866
38, 0.00000, 2332.05, 113.658, 0, 0, 24.9959, 113.656, 24.9959, -66.3437
39, 0.00000, 2331.9, 113.654, 0, 0, 24.9268, 113.654, 24.9268, -66.3459
40, 0.00000, 2330.37, 113.618, 0, 0, 24.7866, 113.619, 24.7866, -66.3809
41, 0.00000, 2324.86, 113.486, 0, 0, 25.989, 113.49, 25.989, -66.5101
42, 0.00000, 2313.18, 113.201, 0, 0, 31.4301, 113.206, 31.4301, -66.7938
43, 0.00000, 2301.05, 112.898, 0, 0, 43.1551, 112.898, 43.1551, -67.1016
44, 0.00000, 2301.4, 112.902, 0, 0, 45.3034, 112.902, 45.3034, -67.098
