hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2351.73, -122.827, 0, 0, 11.8883, -122.83, 11.8883, 57.1697
2, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
3, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
4, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
5, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
6, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
7, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
8, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
9, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
10, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
11, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
12, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
13, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
14, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
15, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
16, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
17, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
18, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
19, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
20, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
21, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
22, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
23, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
24, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
25, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
26, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
27, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
28, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
29, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
30, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
31, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
32, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
33, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
34, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
35, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
36, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
37, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
38, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
39, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
40, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
41, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
42, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
43, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
44, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
45, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
46, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
47, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
48, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
49, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
50, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
51, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
52, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
53, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
54, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
55, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
56, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
57, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
58, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
59, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
60, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
61, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
62, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
63, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
64, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
65, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
66, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
67, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
68, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
69, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
70, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
71, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
72, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
73, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
74, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
75, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
76, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
77, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
78, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
79, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
80, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
81, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
82, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
83, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
84, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
85, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
86, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
87, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
88, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
89, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
90, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
91, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
92, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
93, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
94, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
95, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
96, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
97, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
98, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
99, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
100, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
101, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
102, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
103, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
104, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
105, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
106, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
107, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
108, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
109, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
110, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
111, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
112, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
113, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
114, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
115, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
116, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
117, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
118, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
119, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
120, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
121, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
122, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
123, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
124, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
125, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
126, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
127, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
128, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
129, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
130, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
131, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
132, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
133, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
134, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
135, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
136, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
137, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
138, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
139, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
140, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
141, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
142, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
143, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
144, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
145, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
146, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
147, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
148, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
149, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
150, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
151, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
152, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
153, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
154, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
155, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
156, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
157, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
158, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
159, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
160, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
161, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
162, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
163, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
164, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
165, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
166, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
167, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
168, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
169, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
170, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
171, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
172, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
173, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
174, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
175, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
176, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
177, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
178, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
179, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
180, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
181, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
182, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
183, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
184, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
185, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
186, 0.00000, 2333.82, -123.157, 0, 0, 9.04133, -123.158, 9.04133, 56.8421
187, 0.00000, 2329.89, -123.242, 0, 0, 11.7782, -123.242, 11.7782, 56.7575
188, 0.00000, 2330.97, -123.221, 0, 0, 11.7837, -123.221, 11.7837, 56.7787
189, 0.00000, 2335.46, -123.135, 0, 0, 11.8064, -123.135, 11.8064, 56.8648
190, 0.00000, 2338.48, -123.077, 0, 0, 11.8217, -123.077, 11.8217, 56.9225
191, 0.00000, 2344.71, -122.96, 0, 0, 11.8531, -122.96, 11.8531, 57.0396
192, 0.00000, 2347.04, -122.919, 0, 0, 11.8649, -122.92, 11.8649, 57.0802
193, 0.00000, 2351.73, -122.827, 0, 0, 11.8886, -122.827, 11.8886, 57.1726
194, 0.00000, 2352.04, -122.821, 0, 0, 11.8902, -122.821, 11.8902, 57.1791
195, 0.00000, 2351.36, -122.835, 0, 0, 11.8868, -122.835, 11.8868, 57.1654
196, 0.00000, 2351.21, -122.838, 0, 0, 11.886, -122.838, 11.886, 57.1622
197, 0.00000, 2346.68, -122.926, 0, 0, 11.8633, -122.925, 11.8633, 57.0749
198, 0.00000, 2344.76, -122.963, 0, 0, 11.8535, -122.962, 11.8535, 57.0378
199, 0.00000, 2331.78, -123.21, 0, 0, 11.7877, -123.21, 11.7877, 56.7904
200, 0.00000, 2341.53, -123.002, 0, 0, 7.22704, -123.002, 7.22704, 56.9981
201, 0.00000, 2337.08, -123.079, 0, 0, 6.29322, -123.079, 6.29322, 56.9207
202, 0.00000, 2339.37, -123.037, 0, 0, 6.2994, -123.037, 6.2994, 56.9628
203, 0.00000, 2340.2, -123.025, 0, 0, 6.30164, -123.025, 6.30164, 56.9748
204, 0.00000, 2339.84, -123.033, 0, 0, 6.30067, -123.033, 6.30067, 56.967
205, 0.00000, 2340.48, -123.021, 0, 0, 6.30236, -123.021, 6.30236, 56.9787
206, 0.00000, 2341.62, -123, 0, 0, 6.30544, -123, 6.30544, 57.0005
207, 0.00000, 2341.43, -123.003, 0, 0, 6.30494, -123.003, 6.30494, 56.9968
208, 0.00000, 2340.68, -123.017, 0, 0, 6.30294, -123.017, 6.30294, 56.9827
209, 0.00000, 2339.61, -123.037, 0, 0, 6.30006, -123.037, 6.30006, 56.9632
