hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2356.16, 114.403, 0, 0, 8.50228, 114.398, 8.50228, -65.6023
2, 0.00000, 2356.32, 114.403, 0, 0, 7.77712, 114.403, 7.77712, -65.5968
3, 0.00000, 2357.43, 114.433, 0, 0, 7.6261, 114.433, 7.6261, -65.567
4, 0.00000, 2357.67, 114.44, 0, 0, 7.57312, 114.44, 7.57312, -65.5602
5, 0.00000, 2349.67, 114.253, 0, 0, 8.46989, 114.255, 8.46989, -65.7446
6, 0.00000, 2343.49, 114.11, 0, 0, 10.4034, 114.112, 10.4034, -65.8885
7, 0.00000, 2314.22, 113.415, 0, 0, 12.5006, 113.415, 12.5006, -66.5846
8, 0.00000, 2319.68, 113.54, 0, 0, 11.3931, 113.541, 11.3931, -66.459
9, 0.00000, 2303.87, 113.151, 0, 0, 10.0125, 113.151, 10.0125, -66.8488
10, 0.00000, 2313.18, 113.373, 0, 0, 8.8964, 113.373, 8.8964, -66.6273
11, 0.00000, 2323.64, 113.635, 0, 0, 7.66273, 113.635, 7.66273, -66.3648
12, 0.00000, 2324.16, 113.652, 0, 0, 7.70605, 113.652, 7.70605, -66.3479
13, 0.00000, 2325.14, 113.677, 0, 0, 7.64589, 113.677, 7.64589, -66.3227
14, 0.00000, 2327.05, 113.721, 0, 0, 7.46243, 113.721, 7.46243, -66.2785
15, 0.00000, 2326.9, 113.717, 0, 0, 7.39691, 113.717, 7.39691, -66.2826
16, 0.00000, 2325.25, 113.68, 0, 0, 7.96543, 113.68, 7.96543, -66.32
17, 0.00000, 2319.2, 113.545, 0, 0, 11.1191, 113.544, 11.1191, -66.4561
18, 0.00000, 2307.06, 113.262, 0, 0, 15.4799, 113.257, 15.4799, -66.7426
19, 0.00000, 2295.38, 112.977, 0, 0, 17.7702, 112.977, 17.7702, -67.0228
20, 0.00000, 2295.97, 112.986, 0, 0, 17.3608, 112.986, 17.3608, -67.0145
21, 0.00000, 2301.11, 113.101, 0, 0, 17.223, 113.101, 17.223, -66.8995
22, 0.00000, 2309.26, 113.284, 0, 0, 15.0803, 113.284, 15.0803, -66.7157
23, 0.00000, 2329.99, 113.774, 0, 0, 12.5781, 113.774, 12.5781, -66.2264
24, 0.00000, 2345.27, 114.149, 0, 0, 10.4762, 114.145, 10.4762, -65.8551
25, 0.00000, 2356.16, 114.403, 0, 0, 8.50269, 114.403, 8.50269, -65.597
26, 0.00000, 2356.32, 114.403, 0, 0, 7.77712, 114.403, 7.77712, -65.5968
27, 0.00000, 2357.43, 114.433, 0, 0, 7.6261, 114.433, 7.6261, -65.567
28, 0.00000, 2357.67, 114.44, 0, 0, 7.57312, 114.44, 7.57312, -65.5602
29, 0.00000, 2349.67, 114.253, 0, 0, 8.46989, 114.255, 8.46989, -65.7446
30, 0.00000, 2343.49, 114.11, 0, 0, 10.4034, 114.112, 10.4034, -65.8885
31, 0.00000, 2314.22, 113.415, 0, 0, 12.5006, 113.415, 12.5006, -66.5846
32, 0.00000, 2319.68, 113.54, 0, 0, 11.3931, 113.541, 11.3931, -66.459
33, 0.00000, 2303.87, 113.151, 0, 0, 10.0125, 113.151, 10.0125, -66.8488
34, 0.00000, 2313.18, 113.373, 0, 0, 8.8964, 113.373, 8.8964, -66.6273
35, 0.00000, 2323.64, 113.635, 0, 0, 7.66273, 113.635, 7.66273, -66.3648
36, 0.00000, 2324.16, 113.652, 0, 0, 7.70605, 113.652, 7.70605, -66.3479
