Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,   30.0,         1, 2,    66395.3,  -90.0,         1, 3,    66395.3,  150.0,         1
"680", 4.16, 1,    2401.78,    0.0,         1, 2,    2401.78, -120.0,         1, 3,    2401.78,  120.0,         1
"650", 4.16, 1,    2401.58,    0.0,   0.99992, 2,    2401.58, -120.0,   0.99992, 3,     2401.6,  120.0,   0.99993
"RG60", 4.16, 1,    2401.97,    0.0,    1.0001, 2,    2401.96, -120.0,    1.0001, 3,    2387.01,  120.0,   0.99385
"633", 4.16, 1,    3051.13,   22.2,    1.2704, 2,    3061.94,  -97.4,    1.2749, 3,    3073.89,  142.0,    1.2798
"634", 0.48, 1,    349.891,   21.6,    1.2626, 2,    353.301,  -97.4,    1.2749, 3,     354.68,  142.0,    1.2798
"671", 4.16, 1,    3355.16,   26.9,    1.3969, 2,    3365.43,  -92.9,    1.4012, 3,    3386.41,  145.9,      1.41
"645", 4.16, 2,    3060.41,  -97.4,    1.2742, 0, 0, 0, 0, 0, 0, 0, 0
"646", 4.16, 2,    3059.73,  -97.4,    1.2739, 0, 0, 0, 0, 0, 0, 0, 0
"692", 4.16, 1,    3355.16,   26.9,    1.3969, 2,    3365.43,  -92.9,    1.4012, 3,    3386.41,  145.9,      1.41
"675", 4.16, 1,    3353.46,   26.7,    1.3962, 2,    3364.21,  -93.0,    1.4007, 3,    3386.23,  145.7,    1.4099
"611", 4.16, 3,     3389.3,  145.7,    1.4112, 0, 0, 0, 0, 0, 0, 0, 0
"652", 4.16, 3,    3384.06,  145.8,     1.409, 0, 0, 0, 0, 0, 0, 0, 0
"670", 4.16, 1,    3354.32,   27.6,    1.3966, 2,    3362.14,  -92.0,    1.3999, 3,    3374.21,  147.1,    1.4049
"684", 4.16, 2,    3365.43,  -92.9,    1.4012, 3,    3387.13,  145.8,    1.4103, 0, 0, 0, 0
"632", 4.16, 1,     3055.8,   22.3,    1.2723, 2,    3061.94,  -97.4,    1.2749, 3,    3073.89,  142.0,    1.2798
