
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

internalwto            39.79     0.9989     0.2865     0.7199  0.002646  0.006651
151_d3_41819            7.35      1.021    0.06801     0.9253    0.0622    0.8463
157_d3_10522_d3_4       7.35      1.021    0.06814      0.927   0.06209    0.8447
151_d3_786              7.35      1.021     0.0679     0.9239   0.06222    0.8466
157_d3_66760_d3_3       7.35      1.021    0.06797     0.9247   0.06223    0.8467
wto                     39.9      1.002     0.1785     0.4474    0.1081     0.271
oh164054                39.9      1.002     0.1785     0.4474    0.1081     0.271
157_d3_9924_d3_1       7.351      1.021     0.0695     0.9455   0.06075    0.8265
157_d3_9925_d3_1       7.351      1.021    0.06962     0.9471   0.06064     0.825
157_d3_10523_d3_1       7.35      1.021    0.06835     0.9299   0.06191    0.8423
157_d3_9897_d3_1        7.35      1.021    0.06844     0.9311   0.06193    0.8426
157_d3_25303_d3_1       7.35      1.021     0.0687     0.9347   0.06153    0.8371
157_d3_25304_d3_1      7.351      1.021     0.0692     0.9415   0.06104    0.8305
157_d3_26020_d3_6      7.201          1     0.1171      1.626  0.008344    0.1159
157_d3_26020_d3_7      7.201          1     0.1171      1.627   0.00835     0.116
150_d3_12               7.35      1.021    0.06713     0.9133   0.06209    0.8447
157_d3_26021_d3_2       7.35      1.021    0.06719     0.9141    0.0621    0.8449
157_d3_26022_d3_5       7.35      1.021    0.06721     0.9144    0.0621    0.8449
157_d3_26022_d3_6       7.35      1.021    0.06739     0.9168   0.06214    0.8454
151_d3_42214            7.35      1.021    0.06747     0.9179   0.06215    0.8455
157_d3_66759_d3_2       7.35      1.021     0.0679     0.9239   0.06223    0.8466
151_d3_42221-b          39.9      1.002     0.1785     0.4474    0.1081     0.271
157_d3_10839_d3_4       39.9      1.002     0.1786     0.4475    0.1081     0.271
1390_d3_24438          7.201          1      0.117      1.624  0.008312    0.1154
157_d3_26019_d3_2      7.201          1      0.117      1.625  0.008327    0.1156
157_d3_9896_d3_3        7.35      1.021    0.06801     0.9253    0.0622    0.8463
151_d3_42220            7.35      1.021    0.06719     0.9141    0.0621    0.8448
154_d3_98               7.35      1.021    0.06744     0.9175   0.06215    0.8455
157_d3_26031_d3_3       7.35      1.021    0.06747     0.9179   0.06215    0.8456
157_d3_26024_d3_6       7.35      1.021    0.06744     0.9175   0.06215    0.8456
155_d3_17500            39.9      1.002     0.1786     0.4475    0.1081     0.271
157_d3_10840_d3_2       39.9      1.002     0.1786     0.4475    0.1081     0.271
151_d3_42219           7.201          1     0.1171      1.627  0.008351     0.116
157_d3_26018_d3_2      7.201          1     0.1172      1.627  0.008362    0.1161
151_d3_42600           7.201          1      0.117      1.625  0.008327    0.1156
157_d3_9898_d3_1       7.353      1.021          0          0         0         0
157_d3_10377_d3_1      7.353      1.021          0          0         0         0
157_d3_10378_d3_1      7.353      1.021          0          0         0         0
