hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 2343.49, 114.443, 0, 0, 8.45694, 114.443, 8.45694, -65.5572
2, 0.00000, 2343.64, 114.443, 0, 0, 7.73527, 114.443, 7.73527, -65.5571
3, 0.00000, 2344.76, 114.473, 0, 0, 7.5851, 114.473, 7.5851, -65.5271
4, 0.00000, 2345, 114.48, 0, 0, 7.53241, 114.48, 7.53241, -65.5202
5, 0.00000, 2337.03, 114.293, 0, 0, 8.42431, 114.295, 8.42431, -65.705
6, 0.00000, 2330.87, 114.149, 0, 0, 10.3474, 114.151, 10.3474, -65.8494
7, 0.00000, 2316.49, 113.46, 0, 0, 12.5128, 113.459, 12.5128, -66.5406
8, 0.00000, 2321.96, 113.585, 0, 0, 11.4041, 113.581, 11.4041, -66.4192
9, 0.00000, 2306.14, 113.195, 0, 0, 10.0224, 113.195, 10.0224, -66.8045
10, 0.00000, 2315.45, 113.417, 0, 0, 8.90513, 113.417, 8.90513, -66.5829
11, 0.00000, 2325.92, 113.68, 0, 0, 7.67024, 113.679, 7.67024, -66.3206
12, 0.00000, 2326.44, 113.696, 0, 0, 7.7136, 113.696, 7.7136, -66.3036
13, 0.00000, 2327.42, 113.722, 0, 0, 7.65337, 113.721, 7.65337, -66.2791
14, 0.00000, 2329.33, 113.766, 0, 0, 7.46974, 113.764, 7.46974, -66.2358
15, 0.00000, 2329.19, 113.762, 0, 0, 7.40416, 113.762, 7.40416, -66.2381
16, 0.00000, 2327.53, 113.724, 0, 0, 7.97325, 113.726, 7.97325, -66.2744
17, 0.00000, 2321.47, 113.589, 0, 0, 11.13, 113.593, 11.13, -66.4074
18, 0.00000, 2309.34, 113.306, 0, 0, 15.4953, 113.311, 15.4953, -66.6893
19, 0.00000, 2297.64, 113.021, 0, 0, 17.7878, 113.021, 17.7878, -66.9787
20, 0.00000, 2298.24, 113.03, 0, 0, 17.3779, 113.03, 17.3779, -66.9702
21, 0.00000, 2303.38, 113.145, 0, 0, 17.24, 113.145, 17.24, -66.8549
22, 0.00000, 2311.54, 113.329, 0, 0, 15.0951, 113.329, 15.0951, -66.671
23, 0.00000, 2332.28, 113.819, 0, 0, 12.5905, 113.818, 12.5905, -66.1816
24, 0.00000, 2347.56, 114.194, 0, 0, 10.4872, 114.193, 10.4872, -65.8066
25, 0.00000, 2358.47, 114.448, 0, 0, 8.51103, 114.448, 8.51103, -65.5519
26, 0.00000, 2358.62, 114.449, 0, 0, 7.78471, 114.449, 7.78471, -65.5514
27, 0.00000, 2359.73, 114.479, 0, 0, 7.63356, 114.478, 7.63356, -65.5224
28, 0.00000, 2359.98, 114.485, 0, 0, 7.58052, 114.485, 7.58052, -65.5149
29, 0.00000, 2351.96, 114.298, 0, 0, 8.47821, 114.307, 8.47821, -65.6926
30, 0.00000, 2345.78, 114.155, 0, 0, 10.4136, 114.161, 10.4136, -65.8387
31, 0.00000, 2316.49, 113.46, 0, 0, 12.5129, 113.46, 12.5129, -66.5401
32, 0.00000, 2321.96, 113.585, 0, 0, 11.4041, 113.581, 11.4041, -66.4192
33, 0.00000, 2306.14, 113.195, 0, 0, 10.0224, 113.195, 10.0224, -66.8045
34, 0.00000, 2315.45, 113.417, 0, 0, 8.90513, 113.417, 8.90513, -66.5829
35, 0.00000, 2325.92, 113.68, 0, 0, 7.67024, 113.679, 7.67024, -66.3206
36, 0.00000, 2326.44, 113.696, 0, 0, 7.7136, 113.696, 7.7136, -66.3036
37, 0.00000, 2327.42, 113.722, 0, 0, 7.65337, 113.721, 7.65337, -66.2791
38, 0.00000, 2329.33, 113.766, 0, 0, 7.46974, 113.764, 7.46974, -66.2358
39, 0.00000, 2329.19, 113.762, 0, 0, 7.40416, 113.762, 7.40416, -66.2381
40, 0.00000, 2327.53, 113.724, 0, 0, 7.97325, 113.726, 7.97325, -66.2744
41, 0.00000, 2321.47, 113.589, 0, 0, 11.13, 113.593, 11.13, -66.4074
42, 0.00000, 2309.34, 113.306, 0, 0, 15.4953, 113.311, 15.4953, -66.6893
43, 0.00000, 2297.64, 113.021, 0, 0, 17.7878, 113.021, 17.7878, -66.9787
44, 0.00000, 2298.24, 113.03, 0, 0, 17.3779, 113.03, 17.3779, -66.9702
45, 0.00000, 2303.38, 113.145, 0, 0, 17.24, 113.145, 17.24, -66.8549
46, 0.00000, 2311.54, 113.329, 0, 0, 15.0951, 113.329, 15.0951, -66.671
47, 0.00000, 2332.28, 113.819, 0, 0, 12.5905, 113.818, 12.5905, -66.1816
48, 0.00000, 2347.56, 114.194, 0, 0, 10.4872, 114.193, 10.4872, -65.8066
49, 0.00000, 2358.47, 114.448, 0, 0, 8.51103, 114.448, 8.51103, -65.5519
50, 0.00000, 2358.62, 114.449, 0, 0, 7.78471, 114.449, 7.78471, -65.5514
51, 0.00000, 2359.73, 114.479, 0, 0, 7.63356, 114.478, 7.63356, -65.5224
52, 0.00000, 2359.98, 114.485, 0, 0, 7.58052, 114.485, 7.58052, -65.5149
53, 0.00000, 2351.96, 114.298, 0, 0, 8.47821, 114.307, 8.47821, -65.6926
54, 0.00000, 2345.78, 114.155, 0, 0, 10.4136, 114.161, 10.4136, -65.8387
55, 0.00000, 2316.49, 113.46, 0, 0, 12.5129, 113.46, 12.5129, -66.5401
